CUSTOMER_ID,propensity_score,Strategy
WT00742775,1.2303873e-06,Reminder
UR00851578,1.2303873e-06,Reminder
BE00625780,1.2303873e-06,Reminder
HW00826978,1.2303873e-06,Reminder
MP00685157,1.2484304e-06,Reminder
MP00685157,1.2484304e-06,Reminder
FD00299312,1.2484304e-06,Reminder
NL00459544,1.2484304e-06,Reminder
ND00439012,1.2484304e-06,Reminder
NL00459544,1.2484304e-06,Reminder
AK00764280,1.2484304e-06,Reminder
FD00299312,1.2484304e-06,Reminder
XX00877877,1.2484304e-06,Reminder
OQ00805148,1.2484304e-06,Reminder
RS00733596,1.2484304e-06,Reminder
DV00846276,1.2484304e-06,Reminder
DV00846276,1.2484304e-06,Reminder
QK00405406,1.2484304e-06,Reminder
ND00439012,1.2484304e-06,Reminder
KN00291699,1.2484304e-06,Reminder
AK00764280,1.2484304e-06,Reminder
KN00291699,1.2484304e-06,Reminder
QK00405406,1.2484304e-06,Reminder
DC00879203,1.2484304e-06,Reminder
XV00442039,1.2484304e-06,Reminder
OT00435563,1.2490949e-06,Reminder
LL00361543,1.2512681e-06,Reminder
LU00867481,1.2561638e-06,Reminder
EG00418255,1.2583284e-06,Reminder
EG00418255,1.2583284e-06,Reminder
YB00363232,1.3028309e-06,Reminder
OY00433086,1.3320852e-06,Reminder
JV01118985,1.3447337e-06,Reminder
EJ00806707,1.3746645e-06,Reminder
RS00329621,1.3746646e-06,Reminder
EJ00806707,1.3746646e-06,Reminder
KQ00665117,1.3843392e-06,Reminder
RE00384393,1.4037765e-06,Reminder
FV00443998,1.4439528e-06,Reminder
SQ00630494,1.4854782e-06,Reminder
TZ00426385,1.5354809e-06,Reminder
FV00443998,1.5354809e-06,Reminder
MU00359331,1.5354809e-06,Reminder
TZ00426385,1.535481e-06,Reminder
OY00433086,1.535481e-06,Reminder
FP00268558,1.5679547e-06,Reminder
SQ00630494,1.570176e-06,Reminder
GE00451094,1.574546e-06,Reminder
JG00282724,1.5848394e-06,Reminder
LU00867481,1.7172573e-06,Reminder
IO00451397,1.7185467e-06,Reminder
NE00352581,1.7185467e-06,Reminder
QC00377861,1.7185467e-06,Reminder
UQ00906049,1.7185467e-06,Reminder
ME00453507,1.7185467e-06,Reminder
DW00331326,1.7185467e-06,Reminder
AC00359911,1.7185467e-06,Reminder
DO00653877,1.7185467e-06,Reminder
IJ00265986,1.7185467e-06,Reminder
FP00398915,1.7185467e-06,Reminder
NG00880940,1.7185467e-06,Reminder
YG00858960,1.7185467e-06,Reminder
NO00763093,1.7185467e-06,Reminder
OD00770369,1.7185467e-06,Reminder
FJ00864960,1.7185467e-06,Reminder
AN00809760,1.7185467e-06,Reminder
UC00438514,1.7185467e-06,Reminder
JH00434941,1.7185467e-06,Reminder
NG00880940,1.7185469e-06,Reminder
AC00359911,1.7185469e-06,Reminder
NC01115435,1.7185469e-06,Reminder
AN00809760,1.7185469e-06,Reminder
NO00763093,1.7185469e-06,Reminder
NE00352581,1.7185469e-06,Reminder
ME00453507,1.7185469e-06,Reminder
FP00398915,1.7185469e-06,Reminder
UQ00906049,1.7185469e-06,Reminder
UC00438514,1.7185469e-06,Reminder
IO00451397,1.7185469e-06,Reminder
WZ00475487,1.7185469e-06,Reminder
JH00434941,1.7185469e-06,Reminder
DO00653877,1.7185469e-06,Reminder
QM00870487,1.7185469e-06,Reminder
OD00770369,1.7185469e-06,Reminder
YG00858960,1.7185469e-06,Reminder
DW00331326,1.7185469e-06,Reminder
NK00684996,1.7233385e-06,Reminder
ER00659727,1.7233697e-06,Reminder
ER00659727,1.7233697e-06,Reminder
OT00435563,1.7778348e-06,Reminder
JV01118985,1.7796925e-06,Reminder
NK00684996,1.7900325e-06,Reminder
UA00297003,1.8043007e-06,Reminder
YH00745268,1.8297576e-06,Reminder
LD01118892,1.833199e-06,Reminder
LJ01127334,1.833199e-06,Reminder
XC00811588,1.8609757e-06,Reminder
BD00837446,1.8645369e-06,Reminder
RN00392880,1.8990129e-06,Reminder
RW00838862,1.9083154e-06,Reminder
RW00838862,1.9083154e-06,Reminder
HG00808145,1.9155552e-06,Reminder
BK00561948,1.9343258e-06,Reminder
TR00294717,1.9410923e-06,Reminder
BV00632971,1.9563179e-06,Reminder
WD00832251,1.9563179e-06,Reminder
BV00632971,1.9563179e-06,Reminder
WD00832251,1.9563179e-06,Reminder
YV00305299,1.98267e-06,Reminder
YF00431838,1.9882514e-06,Reminder
KW00833986,1.99331e-06,Reminder
KZ00376762,1.997835e-06,Reminder
JM00741935,1.999323e-06,Reminder
XS00450678,2.0688997e-06,Reminder
XS00450678,2.0688997e-06,Reminder
FO00541005,2.1196233e-06,Reminder
FG00805915,2.1327974e-06,Reminder
RN00392880,2.2200538e-06,Reminder
KW00833986,2.2383413e-06,Reminder
UL00850865,2.2849106e-06,Reminder
ME00467917,2.2878078e-06,Reminder
ME00467917,2.2878078e-06,Reminder
AA00683689,2.3448144e-06,Reminder
GI00267669,2.3448144e-06,Reminder
KK00875075,2.3448144e-06,Reminder
RK00740839,2.3448144e-06,Reminder
JZ00817338,2.3448144e-06,Reminder
JK00813903,2.3448144e-06,Reminder
GI00267669,2.3448144e-06,Reminder
JK00813903,2.3448144e-06,Reminder
KK00875075,2.3448144e-06,Reminder
XT00763835,2.3448144e-06,Reminder
YU00854926,2.3448144e-06,Reminder
JZ00817338,2.3448144e-06,Reminder
MR00938741,2.3921982e-06,Reminder
XY00375868,2.4080657e-06,Reminder
JM00741935,2.4165852e-06,Reminder
NZ00824002,2.4188435e-06,Reminder
FC00640068,2.4188435e-06,Reminder
NZ00824002,2.4188435e-06,Reminder
FC00640068,2.4188435e-06,Reminder
GE00451094,2.4297392e-06,Reminder
GX00429658,2.4369317e-06,Reminder
FJ00366553,2.4409503e-06,Reminder
UK00633167,2.4440017e-06,Reminder
TR00345586,2.4552137e-06,Reminder
